$1,4,01937e-03,4,13159e-03,4,22389e-03,5,03020e+00
out,4,01937e-03,4,13159e-03,4,22389e-03,5,03020e+00
$2,3,81998e+00,3,81998e+00,2,23713e-02,2,23713e-02
a,3,00000e-03,3,00000e-03,1,80000e+00,1,80000e+00
$3,3,21000e+00,6,47062e-03,3,21000e+00,6,47062e-03
b,2,00000e-03,2,50000e+00,2,00000e-03,2,50000e+00
