from_partname,type,to_partname,arrowhead_length,linestyle,linewidth,color
BM3RI_b,Repression,pBm3RI1_a,3,-,,0,61;0,33;0,63
CI_a,Repression,pCI2_a,3,-,,0,58;0,80;0,87
BM3RI_a,Repression,pBm3RI1_a,3,-,,0,61;0,33;0,63
PhlF_a,Repression,pPhlF1_a,3,-,,0,98;0,64;0,15
